Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW21,1411.0,OUT018
NCH29,1556.0,OUT046
FDU58,3083.0,OUT013
FDY27,2943.0,OUT017
FDV56,1945.0,OUT035
FDT59,3656.0,OUT046
FDB23,3621.0,OUT046
FDR49,695.0,OUT045
FDB03,1903.0,OUT010
FDN39,2613.0,OUT045
FDX02,4989.0,OUT027
FDQ16,3189.0,OUT027
FDU35,1339.0,OUT018
NCT29,1959.0,OUT013
FDZ27,831.0,OUT046
FDN57,2341.0,OUT017
FDA03,2095.0,OUT018
FDZ36,2917.0,OUT045
NCU05,1323.0,OUT013
FDT39,2177.0,OUT018
FDK60,1719.0,OUT017
FDZ25,2853.0,OUT017
FDG12,2038.0,OUT046
DRB01,1125.0,OUT019
NCC43,5379.0,OUT027
FDX13,2035.0,OUT019
FDM22,1033.0,OUT049
FDJ03,2309.0,OUT027
FDU14,3674.0,OUT018
FDB33,623.0,OUT010
FDP27,3004.0,OUT046
FDO38,-673.0,OUT010
FDE28,5153.0,OUT027
FDO27,1697.0,OUT035
DRL23,3167.0,OUT027
FDS28,962.0,OUT046
FDX24,1551.0,OUT013
FDZ02,1743.0,OUT035
FDL46,1809.0,OUT045
FDS60,4297.0,OUT027
NCO06,629.0,OUT017
FDO16,1525.0,OUT035
FDC60,1542.0,OUT049
FDA48,3195.0,OUT018
FDZ36,4453.0,OUT027
FDK27,1875.0,OUT045
FDW23,374.0,OUT018
FDM14,1506.0,OUT018
FDM14,1791.0,OUT013
FDW60,2600.0,OUT018
FDE21,1911.0,OUT013
NCM42,1877.0,OUT035
FDY59,-373.0,OUT010
DRI49,1383.0,OUT049
FDT28,511.0,OUT019
FDQ22,405.0,OUT018
FDR60,1339.0,OUT049
FDC50,-397.0,OUT019
FDV24,2459.0,OUT013
DRF48,1021.0,OUT010
FDQ47,636.0,OUT046
DRN36,1666.0,OUT049
NCY06,2167.0,OUT035
FDE52,1655.0,OUT035
NCB54,1933.0,OUT045
NCF31,2543.0,OUT035
FDJ08,4449.0,OUT027
NCC07,1781.0,OUT017
NCD19,2361.0,OUT027
FDL46,2016.0,OUT049
FDM20,3833.0,OUT045
NCI06,915.0,OUT010
DRM11,4215.0,OUT035
NCH07,2200.0,OUT018
FDS23,2083.0,OUT013
FDO49,595.0,OUT018
FDS35,1168.0,OUT049
DRK39,1275.0,OUT045
DRI39,1039.0,OUT049
FDV04,2635.0,OUT017
NCN14,3001.0,OUT035
FDH08,3691.0,OUT013
FDS20,2911.0,OUT046
FDV40,1363.0,OUT049
FDZ48,-143.0,OUT010
FDS24,2913.0,OUT027
FDK44,2865.0,OUT049
FDS48,2341.0,OUT045
FDK26,1103.0,OUT010
FDD23,2969.0,OUT045
NCH54,2631.0,OUT017
NCP14,-253.0,OUT010
FDM60,-1185.0,OUT010
FDV24,2519.0,OUT017
FDH08,3341.0,OUT018
FDS12,3465.0,OUT027
FDR39,4321.0,OUT027
FDP12,2129.0,OUT027
DRF60,5187.0,OUT027
FDC09,1845.0,OUT035
FDF50,2884.0,OUT018
FDG28,4051.0,OUT035
NCE19,977.0,OUT017
NCM53,-203.0,OUT010
NCN18,1854.0,OUT049
FDF32,3313.0,OUT035
FDF11,3875.0,OUT013
DRI59,3667.0,OUT049
NCG54,2805.0,OUT035
FDM44,1636.0,OUT046
FDT57,3461.0,OUT018
FDV24,2418.0,OUT046
FDI50,1771.0,OUT019
FDS09,1029.0,OUT035
NCC31,3897.0,OUT027
FDQ07,1595.0,OUT019
FDC22,3167.0,OUT017
FDZ56,2695.0,OUT046
FDZ40,-1001.0,OUT019
FDS46,3393.0,OUT027
DRD24,2159.0,OUT045
FDV45,3101.0,OUT017
FDL26,2415.0,OUT045
FDA56,1703.0,OUT018
FDN27,1918.0,OUT046
FDM20,3987.0,OUT049
FDO16,1455.0,OUT017
FDL03,3297.0,OUT035
FDE58,1911.0,OUT046
FDI02,3289.0,OUT027
NCC55,-1237.0,OUT019
FDR03,3049.0,OUT018
FDB14,1635.0,OUT017
FDR45,3855.0,OUT013
NCN07,2151.0,OUT017
FDM51,-181.0,OUT019
FDT52,5365.0,OUT027
FDL26,2462.0,OUT046
NCZ42,3763.0,OUT046
DRI47,413.0,OUT019
FDW40,2319.0,OUT013
FDN34,2740.0,OUT046
FDS01,2985.0,OUT035
NCG55,1785.0,OUT045
FDC11,1543.0,OUT035
FDX35,3337.0,OUT018
NCB06,2517.0,OUT046
FDR09,2187.0,OUT019
FDC53,1671.0,OUT017
FDY45,4075.0,OUT013
FDA22,765.0,OUT010
FDE02,1667.0,OUT035
FDW21,1625.0,OUT045
FDV34,1254.0,OUT046
FDS59,1898.0,OUT049
NCW17,2125.0,OUT017
NCK54,1928.0,OUT046
FDG17,2007.0,OUT019
FDG35,2907.0,OUT017
FDD08,-1269.0,OUT010
NCO07,3423.0,OUT017
FDJ10,359.0,OUT010
FDW36,1775.0,OUT017
FDW21,-269.0,OUT010
FDY19,1997.0,OUT017
DRE03,813.0,OUT013
NCC55,742.0,OUT049
FDH52,-819.0,OUT010
FDO09,4307.0,OUT017
FDU43,3761.0,OUT045
FDX09,853.0,OUT010
FDH40,-521.0,OUT019
FDW58,1801.0,OUT017
FDC47,3673.0,OUT017
NCR41,1663.0,OUT035
DRG49,3981.0,OUT035
FDC52,3941.0,OUT027
FDY13,1223.0,OUT046
FDY35,823.0,OUT013
FDI35,2993.0,OUT017
NCU18,2328.0,OUT049
FDY33,2283.0,OUT018
FDC15,3933.0,OUT027
FDU01,3120.0,OUT049
NCU42,2680.0,OUT046
NCV29,2522.0,OUT018
NCY30,2979.0,OUT017
FDQ46,1899.0,OUT049
FDG58,3945.0,OUT027
FDK33,3481.0,OUT017
NCD07,1789.0,OUT045
NCX29,3715.0,OUT027
NCT42,2375.0,OUT013
DRN59,909.0,OUT035
FDI44,1423.0,OUT035
FDA45,2927.0,OUT049
FDP31,1031.0,OUT045
FDY01,1868.0,OUT046
FDT09,1897.0,OUT018
DRH03,2979.0,OUT027
FDA36,2693.0,OUT018
NCF31,2515.0,OUT017
FDG14,2562.0,OUT049
FDG28,5389.0,OUT027
FDU14,4066.0,OUT049
FDY47,247.0,OUT019
FDI56,1554.0,OUT049
DRD01,993.0,OUT013
FDM22,960.0,OUT046
FDH33,739.0,OUT013
DRZ24,1929.0,OUT013
NCQ38,1674.0,OUT046
FDO16,2829.0,OUT027
FDU07,3829.0,OUT027
NCB07,3083.0,OUT013
FDU48,2037.0,OUT045
NCM43,2529.0,OUT045
FDR31,423.0,OUT010
DRK49,412.0,OUT018
NCI30,1911.0,OUT010
DRD60,2961.0,OUT017
NCG19,3673.0,OUT046
FDH12,1821.0,OUT035
FDM32,1649.0,OUT035
FDM27,2651.0,OUT035
NCU53,4069.0,OUT027
NCQ18,1552.0,OUT046
FDS10,2891.0,OUT013
FDB33,3965.0,OUT027
FDI12,1463.0,OUT013
NCW42,3507.0,OUT013
NCC06,1752.0,OUT018
FDW02,2169.0,OUT017
NCD43,1761.0,OUT017
FDM57,1104.0,OUT018
FDA58,3847.0,OUT017
FDK56,2938.0,OUT046
FDP52,3629.0,OUT045
FDW20,1722.0,OUT018
FDS52,1730.0,OUT049
NCT29,1609.0,OUT018
NCL54,2835.0,OUT013
FDC05,3101.0,OUT045
FDF34,3311.0,OUT035
FDP03,3489.0,OUT027
FDD32,-513.0,OUT010
FDZ10,1977.0,OUT045
FDZ40,1041.0,OUT035
FDD51,460.0,OUT018
NCY30,935.0,OUT019
FDP58,3537.0,OUT017
FDV49,4275.0,OUT017
FDY24,-997.0,OUT019
NCO55,1783.0,OUT017
FDR13,2015.0,OUT017
FDS51,1133.0,OUT017
FDP26,1615.0,OUT045
NCB54,3491.0,OUT027
FDF32,3241.0,OUT017
FDN31,2716.0,OUT018
DRM48,687.0,OUT017
FDN20,2806.0,OUT049
DRL01,3708.0,OUT046
FDV56,1880.0,OUT049
DRH13,3175.0,OUT027
FDA03,2475.0,OUT017
FDF47,4989.0,OUT027
FDX32,2374.0,OUT046
FDX57,1714.0,OUT049
NCA30,2913.0,OUT045
FDO49,915.0,OUT013
FDL04,-229.0,OUT019
DRM48,747.0,OUT035
FDR16,3431.0,OUT013
NCC19,2742.0,OUT018
NCE42,3639.0,OUT045
FDY24,1045.0,OUT017
FDH19,2895.0,OUT049
FDJ46,2807.0,OUT013
FDN45,1611.0,OUT010
FDY08,2385.0,OUT035
FDZ37,1613.0,OUT035
NCT30,683.0,OUT045
DRY23,439.0,OUT018
NCZ30,1651.0,OUT018
FDC44,1521.0,OUT018
FDB45,1833.0,OUT035
FDY04,2675.0,OUT013
FDM27,2552.0,OUT046
FDZ43,3957.0,OUT017
FDT39,559.0,OUT019
NCC06,107.0,OUT019
FDL15,3897.0,OUT027
FDL57,4201.0,OUT017
FDU08,1605.0,OUT046
FDK40,4303.0,OUT017
FDQ12,1707.0,OUT010
FDS48,2525.0,OUT017
FDP09,3289.0,OUT045
FDW21,1770.0,OUT049
FDY25,3037.0,OUT035
DRE13,1471.0,OUT017
FDV43,-1185.0,OUT019
FDD22,1715.0,OUT045
FDM46,-449.0,OUT019
NCO30,1009.0,OUT010
FDM25,2803.0,OUT046
NCN41,2039.0,OUT049
FDU24,1477.0,OUT045
FDZ50,2954.0,OUT046
FDP45,4051.0,OUT013
NCM54,1923.0,OUT045
FDW10,899.0,OUT019
FDP20,2155.0,OUT017
FDK32,2458.0,OUT046
FDN52,1548.0,OUT049
FDM58,1761.0,OUT045
FDZ46,3237.0,OUT027
NCA18,1570.0,OUT018
FDD35,1977.0,OUT046
NCK31,941.0,OUT035
FDI40,3097.0,OUT027
FDT50,-297.0,OUT019
NCT06,2604.0,OUT046
FDT31,3127.0,OUT035
FDT45,995.0,OUT049
FDT13,2915.0,OUT045
FDO50,1417.0,OUT045
NCU18,295.0,OUT010
NCR54,3166.0,OUT049
NCO18,2524.0,OUT018
FDU09,901.0,OUT045
FDT13,2711.0,OUT018
FDE09,1814.0,OUT046
NCK53,-285.0,OUT019
FDG45,3475.0,OUT049
DRH15,875.0,OUT035
FDO21,1707.0,OUT019
FDD14,4345.0,OUT027
FDC09,1703.0,OUT046
FDH45,2213.0,OUT027
FDV32,1061.0,OUT046
FDG12,2133.0,OUT035
FDS32,2323.0,OUT013
NCL55,3672.0,OUT018
DRE01,3943.0,OUT035
DRE15,1360.0,OUT049
NCL42,3809.0,OUT045
FDP31,1111.0,OUT013
FDN33,1263.0,OUT018
FDZ59,2647.0,OUT046
FDE45,925.0,OUT010
FDJ07,1951.0,OUT013
FDQ45,2716.0,OUT018
FDM33,4921.0,OUT027
FDO15,-629.0,OUT010
FDM46,1499.0,OUT013
FDR03,3257.0,OUT045
FDY49,2417.0,OUT018
FDQ60,1865.0,OUT045
FDW10,2904.0,OUT049
FDO51,908.0,OUT049
FDJ40,1518.0,OUT018
FDS20,2618.0,OUT018
FDU45,1883.0,OUT013
FDV02,2837.0,OUT035
FDN09,3840.0,OUT046
NCM55,4383.0,OUT027
FDN23,2069.0,OUT018
FDY31,395.0,OUT010
FDW03,-155.0,OUT010
FDD14,2879.0,OUT046
FDV23,2109.0,OUT017
DRI03,2721.0,OUT045
FDN13,1721.0,OUT035
FDF45,2497.0,OUT027
FDU46,1611.0,OUT035
FDB57,3670.0,OUT049
FDV12,1756.0,OUT049
FDQ58,2479.0,OUT013
NCA18,1931.0,OUT017
FDH52,1164.0,OUT049
FDM24,2157.0,OUT018
NCP43,4305.0,OUT027
NCO18,883.0,OUT019
FDM32,1599.0,OUT017
NCL07,731.0,OUT017
FDK03,4067.0,OUT013
FDP59,1785.0,OUT017
FDQ24,4062.0,OUT049
FDQ16,1485.0,OUT018
FDU44,2631.0,OUT013
FDH28,-1235.0,OUT010
FDV28,-1269.0,OUT019
FDM22,873.0,OUT045
FDR56,3138.0,OUT046
FDV39,3250.0,OUT049
FDU37,-553.0,OUT019
FDQ11,2135.0,OUT010
FDX02,3469.0,OUT045
NCS42,1185.0,OUT018
FDY57,3013.0,OUT027
FDB21,3909.0,OUT049
FDE28,3767.0,OUT017
FDQ55,1977.0,OUT017
FDA48,3615.0,OUT049
FDZ19,2691.0,OUT045
NCC43,3883.0,OUT045
NCV18,1290.0,OUT046
NCA42,2249.0,OUT018
FDY45,4072.0,OUT046
NCC30,2745.0,OUT045
FDM57,1455.0,OUT013
FDL09,741.0,OUT010
FDB09,3445.0,OUT027
FDT44,2041.0,OUT035
NCT06,4049.0,OUT027
FDX26,3007.0,OUT049
FDK32,2523.0,OUT013
DRA12,2285.0,OUT046
FDO46,1135.0,OUT010
FDE52,1503.0,OUT013
NCH42,3539.0,OUT045
FDV08,887.0,OUT035
FDB47,3051.0,OUT018
FDC28,-109.0,OUT010
FDD22,1816.0,OUT046
FDS07,3309.0,OUT027
DRI13,3359.0,OUT045
FDG32,3217.0,OUT018
FDU14,4065.0,OUT017
FDD28,-893.0,OUT019
NCP41,1837.0,OUT017
FDS08,2879.0,OUT049
FDX47,2481.0,OUT045
FDC53,-265.0,OUT019
FDQ19,4009.0,OUT035
FDL14,2441.0,OUT045
FDM33,1603.0,OUT019
FDA51,1769.0,OUT045
FDZ27,559.0,OUT018
FDT04,704.0,OUT046
DRC13,2148.0,OUT049
FDR16,4889.0,OUT027
FDQ03,5233.0,OUT027
FDE38,2811.0,OUT035
DRH23,2355.0,OUT027
FDT11,1127.0,OUT019
FDD09,3009.0,OUT035
FDR40,1321.0,OUT045
FDX07,3089.0,OUT017
FDR07,1697.0,OUT035
FDA51,1955.0,OUT017
FDT59,1763.0,OUT019
FDF20,3193.0,OUT017
FDR13,1817.0,OUT045
FDY26,3478.0,OUT049
FDW04,2235.0,OUT017
FDK52,3691.0,OUT017
FDN60,2595.0,OUT049
FDM09,839.0,OUT019
FDP46,1542.0,OUT049
FDB50,-649.0,OUT019
NCQ29,4148.0,OUT049
FDP16,5333.0,OUT027
FDX33,2317.0,OUT018
FDP07,1139.0,OUT010
FDN22,4004.0,OUT046
FDF39,4288.0,OUT049
FDS21,1147.0,OUT017
NCM42,1735.0,OUT013
FDK50,731.0,OUT019
DRF13,3791.0,OUT027
FDH35,2335.0,OUT018
FDP60,1357.0,OUT018
DRJ49,3543.0,OUT027
NCT42,451.0,OUT019
FDE38,2771.0,OUT049
FDI04,3284.0,OUT049
NCH54,2403.0,OUT045
FDT56,1100.0,OUT049
DRD15,3369.0,OUT018
FDV58,3099.0,OUT013
FDP21,3115.0,OUT049
FDH05,3747.0,OUT013
FDR10,4033.0,OUT027
NCP06,2285.0,OUT045
FDF33,1833.0,OUT049
DRK37,3013.0,OUT013
DRH49,1293.0,OUT045
FDT58,2691.0,OUT013
FDD41,1439.0,OUT018
FDP40,1540.0,OUT018
FDM51,3149.0,OUT027
FDO45,-467.0,OUT010
FDW33,-219.0,OUT010
FDY24,861.0,OUT045
FDB10,1847.0,OUT010
FDM40,2387.0,OUT035
NCI06,2939.0,OUT017
FDW12,447.0,OUT019
FDX48,3961.0,OUT027
NCW05,3125.0,OUT027
FDX27,1673.0,OUT017
DRM37,3047.0,OUT045
FDA38,3749.0,OUT045
FDR36,706.0,OUT046
FDZ45,3150.0,OUT046
FDG05,2673.0,OUT017
FDK28,4111.0,OUT013
FDV47,1329.0,OUT045
FDN21,2487.0,OUT045
FDP20,3497.0,OUT027
FDI35,2825.0,OUT045
DRY23,777.0,OUT013
FDA56,2077.0,OUT017
FDB09,2003.0,OUT013
NCO26,3303.0,OUT027
FDQ49,2261.0,OUT018
FDI52,3409.0,OUT027
FDZ44,3337.0,OUT027
FDZ09,2323.0,OUT018
FDY03,1952.0,OUT049
NCG42,2161.0,OUT017
DRI13,4899.0,OUT027
FDQ32,2087.0,OUT013
FDW16,1653.0,OUT035
FDU27,811.0,OUT046
FDR28,727.0,OUT010
FDQ49,653.0,OUT010
FDS37,1870.0,OUT046
FDW26,3232.0,OUT018
FDX12,3596.0,OUT018
NCP06,2411.0,OUT013
FDW45,407.0,OUT010
NCN30,1611.0,OUT049
FDN24,972.0,OUT049
NCL41,1995.0,OUT027
FDR02,-129.0,OUT019
FDD09,983.0,OUT010
FDS33,-519.0,OUT010
FDU22,1847.0,OUT045
FDI53,2651.0,OUT013
DRH01,2866.0,OUT049
FDX32,2355.0,OUT013
NCP30,378.0,OUT018
FDB60,3037.0,OUT045
FDB14,1652.0,OUT049
NCP02,1069.0,OUT035
FDJ10,2359.0,OUT017
FDG34,1828.0,OUT046
NCB18,1493.0,OUT017
FDM16,1368.0,OUT049
FDW25,1091.0,OUT018
FDB35,-409.0,OUT010
DRN11,2281.0,OUT013
FDF41,1983.0,OUT019
FDH16,1361.0,OUT045
NCQ50,3076.0,OUT018
DRH23,623.0,OUT018
DRJ37,2441.0,OUT013
DRJ24,4351.0,OUT027
FDY16,3103.0,OUT035
FDQ27,1677.0,OUT045
FDZ33,2293.0,OUT045
FDF29,2081.0,OUT045
FDA08,2749.0,OUT049
FDG31,1081.0,OUT046
FDE34,963.0,OUT019
NCR30,2627.0,OUT027
FDV33,4267.0,OUT035
DRZ24,1632.0,OUT018
NCL54,2893.0,OUT035
FDR12,2892.0,OUT049
NCC54,3777.0,OUT046
DRN59,793.0,OUT013
FDX50,-137.0,OUT019
FDV31,4281.0,OUT027
NCA29,4179.0,OUT027
FDW60,2968.0,OUT049
FDX08,2999.0,OUT017
DRD49,3729.0,OUT013
FDD33,3662.0,OUT046
FDW35,759.0,OUT013
FDJ36,1783.0,OUT017
FDV51,2793.0,OUT035
FDW36,1713.0,OUT046
FDH35,2636.0,OUT046
NCS30,3519.0,OUT027
FDN49,777.0,OUT017
FDL08,3623.0,OUT018
FDI09,3867.0,OUT013
FDP19,1783.0,OUT018
FDU21,-1319.0,OUT010
NCP41,1637.0,OUT045
FDY10,1843.0,OUT013
FDP12,391.0,OUT018
NCN26,1963.0,OUT049
FDK44,2799.0,OUT013
FDC28,1876.0,OUT049
FDJ41,5609.0,OUT027
NCT29,2087.0,OUT035
NCH42,1683.0,OUT019
FDU60,2426.0,OUT018
FDS02,3029.0,OUT045
FDC51,2032.0,OUT046
FDU03,2975.0,OUT013
FDX39,3325.0,OUT045
NCY05,-1317.0,OUT010
NCL06,5521.0,OUT027
FDD32,1493.0,OUT035
NCN41,1863.0,OUT045
NCX53,2351.0,OUT049
FDU57,511.0,OUT019
FDQ23,1683.0,OUT046
FDQ52,3845.0,OUT045
FDC14,659.0,OUT045
FDY09,2957.0,OUT035
FDQ28,2465.0,OUT045
FDV25,3506.0,OUT046
FDJ07,2025.0,OUT035
DRB25,1785.0,OUT049
FDK52,1675.0,OUT019
FDY52,2513.0,OUT027
FDB28,3126.0,OUT046
FDT36,765.0,OUT035
FDV25,3623.0,OUT017
NCN07,3511.0,OUT027
FDC57,3201.0,OUT017
FDQ03,3507.0,OUT018
FDU23,2773.0,OUT017
NCX41,3493.0,OUT035
NCD06,883.0,OUT035
FDW08,1641.0,OUT045
NCU29,2387.0,OUT017
NCE06,2551.0,OUT013
FDV52,-5.0,OUT010
FDB02,2959.0,OUT017
NCR18,639.0,OUT045
FDK16,1621.0,OUT049
NCQ29,2123.0,OUT010
FDZ01,-177.0,OUT019
FDW27,2667.0,OUT035
FDD17,3486.0,OUT018
FDW39,2915.0,OUT013
DRH59,1107.0,OUT045
FDS52,1679.0,OUT013
FDU40,4549.0,OUT027
NCF54,2759.0,OUT013
FDH46,1633.0,OUT045
NCP14,1730.0,OUT049
FDH50,3068.0,OUT049
DRF15,525.0,OUT010
FDV27,2909.0,OUT027
NCJ06,2002.0,OUT049
FDN02,2969.0,OUT018
FDQ51,946.0,OUT049
FDQ07,3655.0,OUT017
FDS45,1840.0,OUT049
NCJ06,1843.0,OUT045
FDD36,2029.0,OUT035
FDY25,2849.0,OUT045
FDU52,2474.0,OUT046
DRK47,3669.0,OUT017
NCL30,2133.0,OUT017
FDN22,4155.0,OUT035
NCF30,3423.0,OUT027
FDK03,4221.0,OUT035
FDT45,1023.0,OUT017
NCC54,5195.0,OUT027
FDP08,2843.0,OUT018
FDU44,2637.0,OUT046
DRG39,1011.0,OUT035
FDU32,2082.0,OUT049
FDY27,2950.0,OUT049
NCP54,1987.0,OUT013
NCZ41,2114.0,OUT049
DRL49,2301.0,OUT013
FDI05,990.0,OUT018
FDY56,3545.0,OUT045
DRC13,2081.0,OUT013
NCV29,2931.0,OUT017
FDR24,1584.0,OUT049
FDZ34,2767.0,OUT018
FDP37,2141.0,OUT035
FDX08,4329.0,OUT027
FDS57,2185.0,OUT045
NCG18,1735.0,OUT049
FDK25,2422.0,OUT018
FDH53,1490.0,OUT049
DRI59,3249.0,OUT018
FDA52,2841.0,OUT046
FDT20,-1257.0,OUT010
FDE36,739.0,OUT019
FDI24,2869.0,OUT017
FDB28,2868.0,OUT018
FDV11,2953.0,OUT017
FDP01,2495.0,OUT046
FDD34,4041.0,OUT027
FDJ50,2329.0,OUT027
FDZ44,1935.0,OUT013
DRO59,1359.0,OUT035
DRB48,635.0,OUT045
FDR21,2498.0,OUT018
NCE42,1797.0,OUT010
FDO23,1497.0,OUT046
NCE30,3050.0,OUT018
FDQ22,797.0,OUT035
FDY01,1801.0,OUT045
FDS08,2919.0,OUT017
FDG28,3674.0,OUT018
FDQ51,597.0,OUT018
FDB05,4031.0,OUT017
FDO56,2014.0,OUT049
FDE02,1197.0,OUT018
FDN45,3615.0,OUT017
FDS09,887.0,OUT013
NCA54,2575.0,OUT018
FDP09,1453.0,OUT010
FDC53,1535.0,OUT045
NCM55,3027.0,OUT017
FDL09,2427.0,OUT018
FDA11,-385.0,OUT019
FDA50,1445.0,OUT045
FDC23,2955.0,OUT017
FDE22,2634.0,OUT049
FDD23,3013.0,OUT046
NCA29,2828.0,OUT049
FDK38,2354.0,OUT046
DRC13,1996.0,OUT046
NCP43,2924.0,OUT049
FDX28,1723.0,OUT049
FDF08,1600.0,OUT049
FDZ33,2378.0,OUT046
FDD10,2992.0,OUT049
FDO58,2687.0,OUT017
FDI50,3793.0,OUT017
FDO58,2569.0,OUT045
FDX08,2911.0,OUT013
NCK17,-1233.0,OUT010
FDF39,4333.0,OUT035
FDU45,-73.0,OUT010
NCJ18,1548.0,OUT018
DRC27,1965.0,OUT019
DRC25,1511.0,OUT035
FDU59,2693.0,OUT035
FDU28,3185.0,OUT035
NCP30,676.0,OUT046
FDB39,639.0,OUT018
FDE41,1491.0,OUT013
DRH11,-1015.0,OUT010
FDA58,3665.0,OUT045
FDU50,1905.0,OUT046
FDM34,2107.0,OUT013
FDM44,3097.0,OUT027
FDR39,2845.0,OUT045
FDM25,2761.0,OUT045
FDQ49,2642.0,OUT049
DRH25,592.0,OUT018
FDM09,4201.0,OUT027
FDL44,687.0,OUT019
NCR42,258.0,OUT018
DRL59,867.0,OUT046
FDX43,2723.0,OUT013
DRK47,1645.0,OUT010
FDU48,1822.0,OUT018
FDY12,797.0,OUT045
NCN43,1669.0,OUT018
NCM55,2610.0,OUT018
FDQ21,3441.0,OUT027
FDX13,4107.0,OUT035
NCK30,5421.0,OUT027
FDG20,2914.0,OUT049
DRG27,757.0,OUT017
FDY14,3881.0,OUT018
FDP59,1833.0,OUT035
FDU60,2833.0,OUT017
NCC18,763.0,OUT019
DRJ39,3537.0,OUT017
FDS07,1932.0,OUT049
FDM08,5021.0,OUT027
FDP51,1893.0,OUT045
FDU16,1531.0,OUT035
FDH12,1735.0,OUT013
DRE48,1201.0,OUT010
NCL42,5291.0,OUT027
FDR21,2745.0,OUT045
NCW29,2215.0,OUT035
FDO11,4035.0,OUT013
NCM31,2330.0,OUT049
FDV35,547.0,OUT019
FDF58,1135.0,OUT017
NCE43,2747.0,OUT049
FDA02,2479.0,OUT035
DRL37,-1171.0,OUT010
FDR24,1236.0,OUT018
FDW59,1464.0,OUT049
FDS22,912.0,OUT049
FDW24,931.0,OUT017
FDU24,1711.0,OUT035
FDA21,4433.0,OUT027
FDH58,3353.0,OUT027
FDW36,1392.0,OUT018
FDI45,4209.0,OUT027
FDU01,2725.0,OUT018
FDF35,3193.0,OUT027
FDU43,1907.0,OUT019
FDE24,383.0,OUT019
FDK50,2711.0,OUT049
FDG31,975.0,OUT045
FDC60,1413.0,OUT045
FDL36,1487.0,OUT013
FDP21,3087.0,OUT013
FDW16,1437.0,OUT045
FDX02,3659.0,OUT017
FDQ58,3945.0,OUT027
FDT51,1828.0,OUT046
FDD59,1445.0,OUT049
NCM42,1452.0,OUT018
FDA57,415.0,OUT018
FDZ48,1941.0,OUT035
FDE46,2369.0,OUT045
NCZ30,27.0,OUT019
FDB56,3139.0,OUT017
FDA25,3181.0,OUT027
FDD20,2055.0,OUT013
FDL25,1559.0,OUT013
NCO18,2889.0,OUT049
FDJ45,693.0,OUT017
FDR12,2891.0,OUT035
NCF19,-1153.0,OUT010
FDK25,2665.0,OUT046
NCR17,1816.0,OUT046
FDC52,2480.0,OUT046
NCA54,2953.0,OUT017
FDR45,1891.0,OUT010
NCM19,1912.0,OUT049
FDF39,5669.0,OUT027
FDX23,1669.0,OUT049
FDD58,3057.0,OUT027
FDX28,1667.0,OUT013
NCD31,2599.0,OUT013
FDU57,2151.0,OUT018
FDI27,818.0,OUT046
NCM42,1716.0,OUT046
FDD32,2821.0,OUT027
FDI34,3687.0,OUT013
NCM29,2160.0,OUT049
